et,eta,theta,phi
300.504,0.218782,1.35374,-0.230233
273.104,-0.673622,2.19859,2.96332
53.0082,1.58732,0.403387,-0.0654432
40.5942,-2.55565,2.98662,1.7303
42.8855,0.454214,1.13144,1.03039
38.5418,1.52963,0.426642,2.67834
36.6227,-3.11639,3.05302,-1.4224
35.1247,-3.46951,3.07935,0.583548
33.9208,-1.35209,2.63529,-2.76107
33.6782,-1.81425,2.81851,0.29129
29.5532,1.65609,0.377229,-2.45535
29.448,-1.40627,2.66095,1.94597
26.8493,2.60169,0.148026,0.86971
25.988,1.5375,0.423393,-1.47356
27.9828,0.418169,1.16431,-2.65595
24.3272,-3.70736,3.09252,2.18754
24.6276,0.487519,1.10152,2.07417
22.2023,3.01605,0.0979105,-0.44952
20.2868,-3.01659,3.04374,-2.94861
19.7805,-1.14109,2.52315,-0.596652
18.5975,3.9305,0.0392627,2.76416
18.2593,-4.19174,3.11136,-2.89874
15.9114,2.87047,0.113223,-2.6814
15.6608,-2.95323,3.03735,-0.286673
15.2977,3.35343,0.0699,1.83952
16.0995,-0.315361,1.88106,-1.41592
14.2917,4.05065,0.0348185,-1.73989
13.7811,4.62689,0.0195698,-2.94249
13.8162,2.06027,0.253473,1.9868
13.3416,2.94513,0.105093,-1.26672
13.7441,-0.498978,2.05027,1.34434
12.2005,4.16454,0.0310714,-0.440444
10.5305,2.16262,0.229041,-0.612187
10.4688,-4.07796,3.10771,-0.607504
10.0493,4.42758,0.0238856,1.83415
9.61002,3.78046,0.0456163,0.796881
9.35236,-2.1529,2.91034,-2.11272
9.08778,-3.14675,3.05566,-2.18223
9.02695,1.08725,0.650352,-0.794406
8.49064,-4.25018,3.11307,-1.74348
8.40081,-4.05352,3.10687,1.31281
7.94171,-0.607683,2.1442,0.452522
7.50871,-1.93865,2.85576,2.80463
6.85224,-2.04378,2.88395,-1.14387
6.8416,-1.95384,2.86001,1.0599
6.6294,3.08968,0.0909701,-2.01072
6.45842,-4.83401,3.12568,2.3904
6.53523,1.33094,0.51665,1.18567
6.03471,-1.00309,2.43857,-1.80391
5.789,0.678886,0.938753,-1.71173
5.32325,2.28048,0.203763,3.05871
5.08792,-4.68131,3.12306,0.347921
5.07904,4.85163,0.0156309,0.552911
3.62812,-5.03442,3.12857,-1.86289
3.532,0.655492,0.957758,2.89003
3.13175,-0.303017,1.86928,-2.34865
