detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
575995904,-3.35196,2.83398,-3.93682,-3.3496,2.83344,-1.42582,-1.45999,3.92053,-1.42736,-1.46234,3.92106,-3.93836,-3.53247,3.14776,-3.93659,-3.53012,3.14722,-1.42559,-1.6405,4.23431,-1.42713,-1.64286,4.23484,-3.93813
580157440,-3.44528,3.71841,-6.59883,-3.44338,3.71849,-4.08783,-1.13068,5.04877,-4.08962,-1.13258,5.04869,-6.60062,-3.62578,4.03221,-6.5987,-3.62387,4.03228,-4.0877,-1.31117,5.36256,-4.08949,-1.31308,5.36249,-6.60049
575995904,-3.35196,2.83398,-3.93682,-3.3496,2.83344,-1.42582,-1.45999,3.92053,-1.42736,-1.46234,3.92106,-3.93836,-3.53247,3.14776,-3.93659,-3.53012,3.14722,-1.42559,-1.6405,4.23431,-1.42713,-1.64286,4.23484,-3.93813
580157440,-3.44528,3.71841,-6.59883,-3.44338,3.71849,-4.08783,-1.13068,5.04877,-4.08962,-1.13258,5.04869,-6.60062,-3.62578,4.03221,-6.5987,-3.62387,4.03228,-4.0877,-1.31117,5.36256,-4.08949,-1.31308,5.36249,-6.60049
575995904,-3.35196,2.83398,-3.93682,-3.3496,2.83344,-1.42582,-1.45999,3.92053,-1.42736,-1.46234,3.92106,-3.93836,-3.53247,3.14776,-3.93659,-3.53012,3.14722,-1.42559,-1.6405,4.23431,-1.42713,-1.64286,4.23484,-3.93813
580157440,-3.44528,3.71841,-6.59883,-3.44338,3.71849,-4.08783,-1.13068,5.04877,-4.08962,-1.13258,5.04869,-6.60062,-3.62578,4.03221,-6.5987,-3.62387,4.03228,-4.0877,-1.31117,5.36256,-4.08949,-1.31308,5.36249,-6.60049
576258048,-4.3226,0.781737,-3.93727,-4.32062,0.782978,-1.42627,-3.22715,2.66891,-1.42807,-3.22914,2.66767,-3.93907,-4.63577,0.963312,-3.93711,-4.63378,0.964553,-1.42611,-3.54032,2.85048,-1.42791,-3.54231,2.84924,-3.93891
580452352,-4.84647,1.50283,-3.93684,-4.84543,1.50238,-1.42584,-3.50794,3.81092,-1.42598,-3.50898,3.81137,-3.93697,-5.1597,1.68431,-3.93667,-5.15865,1.68385,-1.42567,-3.82117,3.99239,-1.42581,-3.82221,3.99284,-3.93681
584613888,-6.11527,1.4489,-6.59809,-6.11396,1.44909,-4.08709,-4.52944,4.18219,-4.08812,-4.53075,4.182,-6.59912,-6.39817,1.61291,-6.59796,-6.39685,1.6131,-4.08696,-4.81233,4.3462,-4.08799,-4.81365,4.34601,-6.59899
588808192,-7.61495,0.896218,-6.5961,-7.61407,0.897975,-4.0851,-5.52968,4.50203,-4.08835,-5.53057,4.50027,-6.59935,-7.89716,1.05943,-6.59611,-7.89627,1.06119,-4.08511,-5.81189,4.66524,-4.08837,-5.81277,4.66348,-6.59936
