et,eta,theta,phi
85.3388,1.42782,0.470772,-1.16438
79.0949,-0.782388,2.28376,2.20122
45.7628,2.91034,0.108807,0.442679
27.8567,2.3639,0.187555,-0.711673
25.1247,-2.78509,3.0183,-2.24093
15.7373,-2.05324,2.88635,2.42808
16.7942,0.125892,1.44524,2.84796
14.3062,2.73582,0.129501,-2.74994
13.5544,2.16335,0.228875,1.16392
13.5444,-1.20401,2.5587,-3.05969
13.0469,1.54622,0.419827,2.91551
13.6328,0.256374,1.31719,-0.700936
12.0439,-2.09124,2.89577,1.49031
12.0021,-1.55649,2.72593,-0.531603
12.4131,-0.294351,1.86099,1.02657
11.0602,-3.24129,3.06341,-0.79595
10.6094,-2.45761,2.97073,-1.43557
9.93775,2.42452,0.17658,2.26808
9.9186,-3.13428,3.05459,1.82876
9.23888,3.91558,0.0398526,-1.23997
9.4454,0.969172,0.72524,-2.01385
8.88164,-4.28406,3.11402,-1.40314
8.86009,-3.84303,3.09874,0.797732
8.41521,3.96249,0.0380268,-0.0373128
7.98519,-4.05357,3.10688,3.063
7.79812,0.797027,0.846817,1.52987
6.81364,-2.93276,3.03519,0.343009
6.68702,-1.23808,2.57719,0.686046
6.48916,3.4153,0.0657092,2.4269
6.14254,-4.51667,3.11974,2.09075
6.04326,4.28282,0.0276055,-2.41265
5.78243,1.47423,0.45015,-0.0214973
5.58851,-4.71833,3.12373,-0.0249497
5.60929,0.13089,1.44028,-2.48318
3.91972,-2.13321,2.90578,0.292187
3.62369,3.9074,0.0401798,1.06809
3.56003,-3.65764,3.09002,-2.41777
3.65584,-0.948876,2.40279,-1.64471
3.34939,-3.14937,3.05589,2.6567
3.34816,3.07806,0.0920316,-1.96949
3.51906,0.501202,1.08935,0.387233
3.20689,-2.09548,2.8968,-2.7614
3.10998,4.59038,0.0202972,0.385969
