et,eta,theta,phi
71.5314,-0.254208,1.82231,-3.12737
65.0766,2.80719,0.120602,-2.90709
62.5645,-1.14748,2.52684,2.05773
63.9847,-0.655173,2.18357,-2.13495
59.6928,-0.423001,1.98172,0.947252
46.9127,-3.32202,3.06946,0.0119961
38.9052,-3.03997,3.04599,2.01586
38.5048,1.07714,0.656493,0.822614
37.7712,1.50075,0.43875,-2.90225
36.4841,-2.7979,3.01987,-1.39846
38.2168,0.903717,0.769724,-0.650104
35.3323,3.31258,0.0728121,-0.834669
36.7348,-0.524251,2.07256,-0.955039
31.7156,-2.06259,2.8887,2.56975
31.8695,1.96897,0.277409,-1.43591
31.8878,-1.26314,2.59045,0.18491
32.5967,0.624101,0.983663,-2.07054
29.8476,2.94005,0.105627,0.332309
29.1074,2.946,0.105002,2.32125
29.0165,3.32401,0.0719853,-2.04779
28.9632,-1.83725,2.82574,-0.906513
30.5679,0.200484,1.37164,2.02291
27.1596,3.18457,0.0827448,1.34114
26.88,-4.29717,3.11438,-2.61537
26.697,-3.15069,3.056,-2.41459
26.3098,-4.04469,3.10657,-1.06611
24.087,-4.27321,3.11372,2.02292
24.039,4.17101,0.0308708,0.325579
23.6273,-2.25366,2.93233,0.870039
24.8492,0.141446,1.42982,0.0552816
21.879,4.02832,0.0356048,-3.12788
22.0635,-1.52935,2.71484,-2.82565
20.947,-3.1128,3.0527,3.05819
20.3708,-4.03891,3.10636,0.945706
19.8188,1.76524,0.339008,-0.213474
17.6507,2.08866,0.246451,1.09376
17.3938,4.35103,0.0257857,1.58843
17.8251,0.914602,0.762178,2.684
17.1274,4.32648,0.0264265,-0.898179
15.0347,-4.61749,3.12184,-0.159873
14.4888,1.51263,0.433729,1.94028
12.5912,4.36061,0.0255397,-1.99177
9.7798,-4.81024,3.1253,-1.61532
8.25807,-3.05526,3.04744,1.12382
7.48127,-1.58625,2.73779,-1.93792
6.57076,3.95239,0.0384128,2.28999
6.44133,-2.39968,2.96059,-0.169762
6.25294,-2.10876,2.9,1.7244
5.56735,-5.01258,3.12829,0.925814
5.40583,-4.08932,3.10809,2.84276
5.05457,1.97743,0.275102,2.76414
4.49012,4.92705,0.0144955,2.4345
4.01731,0.172877,1.39877,-1.3963
3.28354,-3.81923,3.09771,-1.84434
3.13142,4.91456,0.0146776,0.709475
3.12921,-5.09366,3.12932,-2.74889
3.10233,-1.34143,2.6301,1.12881
