energy,eta,phi,time,detid,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
0.944577,-0.0435,1.78896,2.4631,1107312789,-0.469168,1.75096,0,-0.314776,1.78519,0,-0.314776,1.78519,-0.157906,-0.469168,1.75096,-0.157906,-0.748182,2.79225,0,-0.501974,2.84683,0,-0.501974,2.84683,-0.251813,-0.748182,2.79225,-0.251813
0.226353,-0.0435,1.87623,-24.0817,1107312790,-0.619989,1.7034,0,-0.469168,1.75096,0,-0.469168,1.75096,-0.157906,-0.619989,1.7034,-0.157906,-0.988695,2.71642,0,-0.748181,2.79225,0,-0.748181,2.79225,-0.251813,-0.988695,2.71642,-0.251813
0.283654,-0.0435,2.05076,28.831,1107312792,-0.906363,1.56987,0,-0.766091,1.64289,0,-0.766091,1.64289,-0.157906,-0.906363,1.56987,-0.157906,-1.44538,2.50346,0,-1.22168,2.61991,0,-1.22168,2.61991,-0.251813,-1.44538,2.50346,-0.251813
1.21064,-0.0435,2.74889,-13.7504,1107312800,-1.7034,0.619989,0,-1.64289,0.766091,0,-1.64289,0.766091,-0.157906,-1.7034,0.619989,-0.157906,-2.71642,0.988695,0,-2.61991,1.22168,0,-2.61991,1.22168,-0.251813,-2.71642,0.988695,-0.251813
2.24132,-0.0435,-2.31256,-2.67225,1107312814,-1.1652,-1.38863,0,-1.28179,-1.28179,0,-1.28179,-1.28179,-0.157906,-1.1652,-1.38863,-0.157906,-1.85814,-2.21444,0,-2.04407,-2.04407,0,-2.04407,-2.04407,-0.251813,-1.85814,-2.21444,-0.251813
-0.0260846,-0.1305,0.829031,-24.3538,1107312906,1.1652,1.38863,-0.157906,1.28179,1.28179,-0.157906,1.28179,1.28179,-0.317008,1.1652,1.38863,-0.317008,1.85814,2.21444,-0.251813,2.04407,2.04407,-0.251813,2.04407,2.04407,-0.505533,1.85814,2.21444,-0.505533
8.8951,-0.1305,-3.09796,-1.92612,1107312933,-1.80583,-0.15799,-0.157906,-1.81273,-2.73714e-07,-0.157906,-1.81273,-2.73714e-07,-0.317008,-1.80583,-0.15799,-0.317008,-2.87975,-0.251946,-0.251813,-2.89075,-4.36491e-07,-0.251813,-2.89075,-4.36491e-07,-0.505533,-2.87975,-0.251946,-0.505533
1.68513,-0.1305,-3.01069,1.81048,1107312934,-1.78519,-0.314777,-0.157906,-1.80583,-0.15799,-0.157906,-1.80583,-0.15799,-0.317008,-1.78519,-0.314777,-0.317008,-2.84683,-0.501974,-0.251813,-2.87975,-0.251946,-0.251813,-2.87975,-0.251946,-0.505533,-2.84683,-0.501974,-0.505533
0.978566,-0.1305,-0.916298,11.5319,1107312958,1.1652,-1.38863,-0.157906,1.03974,-1.4849,-0.157906,1.03974,-1.4849,-0.317008,1.1652,-1.38863,-0.317008,1.85814,-2.21444,-0.251813,1.65807,-2.36796,-0.251813,1.65807,-2.36796,-0.505533,1.85814,-2.21444,-0.505533
0.251264,-0.2175,2.74889,1.80794,1107313056,-1.7034,0.619989,-0.317008,-1.64289,0.766091,-0.317008,-1.64289,0.766091,-0.478511,-1.7034,0.619989,-0.478511,-2.71642,0.988695,-0.505533,-2.61991,1.22168,-0.505533,-2.61991,1.22168,-0.763081,-2.71642,0.988695,-0.763081
1.16961,-0.2175,-2.92343,26.9746,1107313063,-1.75096,-0.469168,-0.317008,-1.78519,-0.314777,-0.317008,-1.78519,-0.314777,-0.478511,-1.75096,-0.469168,-0.478511,-2.79225,-0.748182,-0.505533,-2.84683,-0.501974,-0.505533,-2.84683,-0.501974,-0.763081,-2.79225,-0.748182,-0.763081
-0.123464,-0.2175,-0.479966,30.0668,1107313091,1.64289,-0.766091,-0.317008,1.56987,-0.906363,-0.317008,1.56987,-0.906363,-0.478511,1.64289,-0.766091,-0.478511,2.61991,-1.22168,-0.505533,2.50346,-1.44538,-0.505533,2.50346,-1.44538,-0.763081,2.61991,-1.22168,-0.763081
0.563126,-0.3045,0.479966,7.18788,1107313158,1.56987,0.906363,-0.478511,1.64289,0.766091,-0.478511,1.64289,0.766091,-0.643638,1.56987,0.906363,-0.643638,2.50346,1.44538,-0.763081,2.61991,1.22168,-0.763081,2.61991,1.22168,-1.02641,2.50346,1.44538,-1.02641
0.336537,-0.3915,0.829031,26.2921,1107313290,1.1652,1.38863,-0.643638,1.28179,1.28179,-0.643638,1.28179,1.28179,-0.81364,1.1652,1.38863,-0.81364,1.85814,2.21444,-1.02641,2.04407,2.04407,-1.02641,2.04407,2.04407,-1.29751,1.85814,2.21444,-1.29751
2.85175,-0.3915,-0.479966,-0.391572,1107313347,1.64289,-0.766091,-0.643638,1.56987,-0.906363,-0.643638,1.56987,-0.906363,-0.81364,1.64289,-0.766091,-0.81364,2.61991,-1.22168,-1.02641,2.50346,-1.44538,-1.02641,2.50346,-1.44538,-1.29751,2.61991,-1.22168,-1.29751
0.665323,-0.4785,0.654498,10.935,1107313416,1.38863,1.1652,-0.81364,1.4849,1.03974,-0.81364,1.4849,1.03974,-0.989805,1.38863,1.1652,-0.989805,2.21444,1.85814,-1.29751,2.36796,1.65807,-1.29751,2.36796,1.65807,-1.57844,2.21444,1.85814,-1.57844
0.959684,-0.4785,-2.31256,12.0766,1107313454,-1.1652,-1.38863,-0.81364,-1.28179,-1.28179,-0.81364,-1.28179,-1.28179,-0.989805,-1.1652,-1.38863,-0.989805,-1.85814,-2.21444,-1.29751,-2.04407,-2.04407,-1.29751,-2.04407,-2.04407,-1.57844,-1.85814,-2.21444,-1.57844
3.52532,-0.4785,-0.829031,-1.14148,1107313471,1.28179,-1.28179,-0.81364,1.1652,-1.38863,-0.81364,1.1652,-1.38863,-0.989805,1.28179,-1.28179,-0.989805,2.04407,-2.04407,-1.29751,1.85814,-2.21444,-1.29751,1.85814,-2.21444,-1.57844,2.04407,-2.04407,-1.57844
0.698401,-0.5655,0.305433,23.059,1107313540,1.7034,0.619989,-0.989804,1.75096,0.469168,-0.989804,1.75096,0.469168,-1.17347,1.7034,0.619989,-1.17347,2.71642,0.988695,-1.57844,2.79225,0.748182,-1.57844,2.79225,0.748182,-1.87132,2.71642,0.988695,-1.87132
