path,slot,moduleLabel,moduleType,VID,KEY,id,pt,eta,phi,mass
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_v5,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,87,0,34,-1.566,-1.39626,0
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_v5,7,hltL1sL1SingleEG22,HLTLevel1GTSeed,-83,88,0,28,-0.5215,1.74533,0
HLT_Photon26_Photon18_v12,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,87,0,34,-1.566,-1.39626,0
HLT_Photon26_Photon18_v12,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,88,0,28,-0.5215,1.74533,0
HLT_Photon26_R9Id85_Photon18_R9Id85_Mass60_v4,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,87,0,34,-1.566,-1.39626,0
HLT_Photon26_R9Id85_Photon18_R9Id85_Mass60_v4,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,88,0,28,-0.5215,1.74533,0
HLT_Photon26_R9Id85_Photon18_R9Id85_Mass60_v4,29,hltEG26R9Id85LastFilter,HLTEgammaGenericFilter,81,0,0,39.9582,-0.594373,1.7434,-5.84004e-07
HLT_Photon26_R9Id85_Photon18_R9Id85_Mass60_v4,48,hltEG18R9Id85DoubleLastFilterUnseeded,HLTEgammaGenericFilter,81,2,0,39.9582,-0.594373,1.7434,-5.84004e-07
HLT_Photon26_R9Id85_Photon18_CaloId10_Iso50_Mass60_v6,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,87,0,34,-1.566,-1.39626,0
HLT_Photon26_R9Id85_Photon18_CaloId10_Iso50_Mass60_v6,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,88,0,28,-0.5215,1.74533,0
HLT_Photon26_R9Id85_Photon18_CaloId10_Iso50_Mass60_v6,29,hltEG26R9Id85LastFilter,HLTEgammaGenericFilter,81,0,0,39.9582,-0.594373,1.7434,-5.84004e-07
HLT_Photon26_R9Id85_Photon18_CaloId10_Iso50_Mass60_v6,48,hltEG18R9Id85LastFilterUnseeded,HLTEgammaGenericFilter,81,2,0,39.9582,-0.594373,1.7434,-5.84004e-07
HLT_Photon26_R9Id85_Photon18_CaloId10_Iso50_Mass60_v6,66,hltEG18CaloId10Iso50TrackIsoLastFilterUnseeded,HLTEgammaGenericQuadraticFilter,81,2,0,39.9582,-0.594373,1.7434,-5.84004e-07
HLT_Photon26_R9Id85_Photon18_CaloId10_Iso50_Mass60_v6,66,hltEG18CaloId10Iso50TrackIsoLastFilterUnseeded,HLTEgammaGenericQuadraticFilter,81,3,0,41.0591,-1.44161,-1.40057,9.53674e-07
HLT_Photon26_CaloId10_Iso50_Photon18_R9Id85_Mass60_v6,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,87,0,34,-1.566,-1.39626,0
HLT_Photon26_CaloId10_Iso50_Photon18_R9Id85_Mass60_v6,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,88,0,28,-0.5215,1.74533,0
HLT_Photon26_CaloId10_Iso50_Photon18_R9Id85_Mass60_v6,52,hltEG18R9Id85LastFilterUnseeded,HLTEgammaGenericFilter,81,2,0,39.9582,-0.594373,1.7434,-5.84004e-07
HLT_Photon26_CaloId10_Iso50_Photon18_R9Id85_Mass60_v6,70,hltEG18CaloId10Iso50TrackIsoLastFilterUnseeded,HLTEgammaGenericQuadraticFilter,81,2,0,39.9582,-0.594373,1.7434,-5.84004e-07
HLT_Photon26_CaloId10_Iso50_Photon18_R9Id85_Mass60_v6,70,hltEG18CaloId10Iso50TrackIsoLastFilterUnseeded,HLTEgammaGenericQuadraticFilter,81,3,0,41.0591,-1.44161,-1.40057,9.53674e-07
HLT_Photon26_CaloId10_Iso50_Photon18_R9Id85_Mass60_v6,76,hltEG26CaloId10Iso50TrackIsoLastFilter,HLTEgammaGenericQuadraticFilter,81,0,0,39.9582,-0.594373,1.7434,-5.84004e-07
HLT_Photon26_CaloId10_Iso50_Photon18_R9Id85_Mass60_v6,76,hltEG26CaloId10Iso50TrackIsoLastFilter,HLTEgammaGenericQuadraticFilter,81,1,0,41.0591,-1.44161,-1.40057,9.53674e-07
HLT_Photon26_CaloId10_Iso50_Photon18_CaloId10_Iso50_Mass60_v6,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,87,0,34,-1.566,-1.39626,0
HLT_Photon26_CaloId10_Iso50_Photon18_CaloId10_Iso50_Mass60_v6,7,hltL1sL1DoubleEG137,HLTLevel1GTSeed,-83,88,0,28,-0.5215,1.74533,0
HLT_Photon26_CaloId10_Iso50_Photon18_CaloId10_Iso50_Mass60_v6,33,hltEG26CaloId10Iso50HcalIsoLastFilter,HLTEgammaGenericQuadraticFilter,81,0,0,39.9582,-0.594373,1.7434,-5.84004e-07
