energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
119.302,1.28054,-0.461467,2.34405,1.31197,-0.345882,undefined,0.0118842,0.073997,113.376,0
14.7753,-0.593218,1.216,-1.83703,-1.11318,2.02467,undefined,0.013041,0.077763,14.0251,0
15.582,1.22085,-0.579661,2.0732,1.21349,-0.443286,undefined,0.0156298,0.0726022,14.5766,0
8.31738,-0.0796999,1.36695,0.319933,0.231577,1.62904,undefined,0.01461,0.0416429,8.06182,0
9.41024,0.787055,1.09809,-0.95993,-0.661266,0.948918,undefined,0.0134584,0.120147,9.20505,0
7.98409,-0.315695,1.29395,-1.96084,-1.17925,1.8101,undefined,0.0193781,0.0425092,7.86008,0
6.56601,1.35334,0.030198,1.57731,0.993502,0.02231,undefined,0.0169705,0.0275085,6.57482,0
4.34818,-0.506325,1.25859,0.321165,0.234581,1.95328,undefined,0.0162523,0.105144,4.29626,0
4.11212,-1.03236,-0.901381,0.527561,0.376019,-2.42382,undefined,0.0171682,0.0190959,4.13772,0
3.42632,-0.055729,1.3503,0.234578,0.172715,1.61204,undefined,0.0181315,0.0975603,3.39728,0
2.51692,-1.19899,-0.637384,0.431535,0.312681,-2.65299,undefined,0.00527014,0.0454561,2.4819,0
