energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
4.03567,-0.967266,-0.963275,-0.562017,-0.40088,-2.35826,undefined,0.0107599,0.0476356,4.0251,0
3.78922,1.18512,-0.6651,-0.339377,-0.247201,-0.511409,undefined,0.019066,0.0647142,3.81674,0
4.87475,-0.207814,1.34551,1.23475,0.81401,1.72404,undefined,0.00955202,0.00715929,4.87846,0
3.72365,1.2092,-0.59437,-0.490621,-0.356529,-0.456857,undefined,0.0166907,0.124702,3.68307,0
3.65007,1.18229,-0.637636,-1.44953,-0.936216,-0.494609,undefined,0.0146002,0.0807605,3.60839,0
2.05594,-0.440464,-1.28077,-0.107009,-0.0789272,-1.90203,undefined,0.0193041,0.0877651,2.06637,0
2.03514,-1.3629,0.0451056,-0.0264193,-0.0193727,3.10851,undefined,0.0101261,0.0107738,2.03057,0
2.27342,0.154487,1.33958,0.858711,0.600129,1.45598,undefined,0.0126886,0.108375,2.24806,0
1.19632,-1.0932,-0.807129,-0.138246,-0.101561,-2.50561,undefined,0.00268802,0.00263977,1.21272,0
1.38517,1.27422,-0.457697,-0.989019,-0.677457,-0.344845,undefined,0.00266751,0.00208852,1.40408,0
