et,eta,theta,phi
21.1352,0.600062,1.00381,1.86841
19.8989,-1.9056,2.84629,1.39599
19.6201,1.55467,0.416394,1.01972
18.6562,-3.60974,3.08749,0.312356
18.5974,3.97391,0.0375953,-1.23914
18.5915,-3.13797,3.05491,1.35737
18.7044,-1.90673,2.84662,2.6308
18.6968,-1.06682,2.47877,-0.491288
19.0827,0.605116,0.999551,-2.06089
17.9841,-1.37125,2.64451,-1.80812
17.0899,1.65362,0.378142,-0.0641594
16.2988,-3.25565,3.06452,2.75084
15.587,-4.16703,3.1106,-1.92832
16.6327,-0.46696,2.02166,1.57347
15.1271,3.238,0.0784444,-2.96248
15.6665,0.277363,1.29692,-0.64452
14.128,1.55914,0.414591,3.10474
13.4963,-2.69918,3.00727,-2.72443
12.8596,-3.28025,3.06639,-1.40364
12.7945,3.55664,0.0570535,2.08325
12.782,-1.97333,2.86538,0.334264
13.2569,0.600783,1.0032,3.07091
11.4351,3.12403,0.0879022,0.877982
11.0722,2.1866,0.22366,-2.29561
10.9183,1.55597,0.415871,-1.3256
11.193,-0.771173,2.27524,2.97436
10.2049,4.4386,0.0236238,1.18293
10.1421,-2.90574,3.03229,-0.256135
9.99178,2.90198,0.109718,-0.514764
9.72009,4.24096,0.0287855,-0.205197
8.77035,-4.27882,3.11388,-3.01601
8.36593,-4.16711,3.1106,-0.707363
8.28862,-4.1217,3.10916,2.06966
8.62,-0.672937,2.19803,0.681383
8.05753,3.15255,0.0854341,-2.0669
7.03781,2.38099,0.184394,1.81982
6.99955,-2.13345,2.90584,-1.30285
6.7431,4.31104,0.0268377,2.98924
5.38635,4.79851,0.0164837,-1.95438
5.38975,0.253395,1.32007,0.207316
4.55139,-2.80186,3.02035,0.666148
4.20662,-4.50804,3.11955,1.12697
3.67945,-2.62577,2.99708,-2.04566
3.38981,-0.442791,1.99979,-2.38767
3.16544,3.46559,0.0624889,0.141482
3.07101,-1.19152,2.55179,1.84315
