energy,pos_x,pos_y,pos_z,eta,phi,algo,etaWidth,phiWidth,rawEnergy,preshowerEnergy
68.4188,0.797009,1.12108,0.0132498,0.00963244,0.952774,undefined,0.0156575,0.0739524,68.1256,0
14.2039,-1.18505,-0.671891,-0.820678,-0.570912,-2.62581,undefined,0.0203836,0.0572162,14.0097,0
11.2215,-1.22785,-0.629883,-0.921637,-0.626136,-2.6676,undefined,0.0184297,0.0273112,11.001,0
2.76494,-1.35517,0.179641,-0.180055,-0.131335,3.0098,undefined,0.0162925,0.0107816,2.78527,0
3.67728,-0.627924,1.18877,1.37363,0.896659,2.05676,undefined,0.00973118,0.00500241,3.66853,0
2.9174,1.35171,0.0592103,-0.808793,-0.566915,0.043776,undefined,0.0148147,0.0611934,2.9194,0
3.1453,1.08754,0.807342,-1.21152,-0.804749,0.638589,undefined,0.0175679,0.0316541,3.08123,0
1.84897,0.567473,1.23083,-1.13279,-0.760376,1.13879,undefined,0.00933701,0.0021952,1.86601,0
1.9701,0.471193,1.25855,1.36606,0.893005,1.21256,undefined,0.00481755,0.00196195,1.96987,0
1.34576,0.0555815,-1.3634,-0.0527566,-0.0386532,-1.53005,undefined,0.0126376,0.0058685,1.34447,0
