pt,charge,pos_x,pos_y,pos_z,phi,eta
1.22281,-1,0.000688527,0.00050717,0.0461514,2.93615,1.60984
5.44107,-1,0.00078558,0.00058152,0.00928093,-1.98792,-2.42528
10.1682,-1,0.000732898,0.000605429,0.00969224,-1.96802,-2.45128
5.8014,-1,0.000695932,0.00062082,0.00955709,-1.96117,-2.41905
12.4221,-1,0.000755597,0.000593967,0.00955413,-2.00202,-2.45018
1.76227,1,0.000817144,0.00059956,0.00769528,-1.72162,-2.40151
1.13593,-1,0.000674853,0.000112401,0.0322875,3.07254,-1.90855
0.976206,1,-0.00194712,-0.000323476,0.0100307,-1.23035,1.92406
1.83399,-1,0.00777378,-0.0101933,0.00116369,-2.56306,-2.39369
1.76409,1,-0.0149782,0.00701665,0.00408085,-1.95878,-2.3487
1.17987,1,-0.0256899,0.00600169,-0.0706711,-1.77246,-2.23184
1.76574,1,-0.0271577,0.00811543,-0.0355327,-1.83425,-2.40778
