pt,charge,pos_x,pos_y,pos_z,phi,eta,calo_energy
3.12244,-1,0.000570642,-4.73088e-06,0.328901,-0.761187,-2.09677,0
50.0349,1,0.000628223,0.000611431,0.0232456,1.8137,-0.851273,0
