pos_x,pos_y,pos_z
0.0322536,0.0199535,0.027892
0.204838,0.128064,0.514425
0.375439,0.238957,1.0009
0.544035,0.352542,1.48735
0.710625,0.468703,1.97379
0.875228,0.587286,2.46027
1.0379,0.708091,2.94682
1.19874,0.830852,3.43347
1.35792,0.955213,3.92026
1.51573,1.08068,4.40723
1.67261,1.20652,4.89439
1.829,1.33428,5.38123
1.98461,1.46542,5.86746
2.13926,1.59917,6.35334
2.29333,1.73447,6.83901
2.44779,1.86974,7.32456
2.60432,2.00254,7.81006
2.76287,2.13283,8.29553
2.92176,2.26276,8.78099
3.08277,2.38979,9.26649
3.2443,2.5161,9.752
-0.0244593,0.030953,-0.0754549
-0.25426,0.309709,-0.212503
-0.482544,0.589665,-0.349494
-0.709313,0.870822,-0.48642
-0.934569,1.15318,-0.623273
-1.15831,1.43676,-0.760037
-1.38054,1.72155,-0.896691
-1.60126,2.00758,-1.0332
-1.82048,2.29486,-1.16953
-2.03827,2.58337,-1.3056
-2.25548,2.8725,-1.44128
-2.47293,3.1614,-1.57709
-2.69052,3.44991,-1.71345
-2.90821,3.73819,-1.85017
-3.12637,4.02597,-1.98715
-3.34469,4.31356,-2.12429
-3.56335,4.60084,-2.2615
-3.7825,4.88773,-2.39874
-4.00175,5.17453,-2.53603
-4.22137,5.46106,-2.67326
-4.44141,5.74731,-2.81041
